Date,Cash Available,Cash Invested,Open,High,Low,Close
2021-11-15,100491.58559999999,0,42.880001,42.880001,42.16,42.650002
2021-11-16,51076.50443399999,49904.798834,42.98,42.98,42.380001,42.799999
2021-11-17,51567.15725731999,49601.641165999994,42.799999,42.799999,42.080002,42.540001
2021-11-18,2238.1280689799896,99366.522332,43.080002,43.080002,42.5,42.610001
2021-11-22,2238.1280689799896,98480.35999999999,42.470001,42.470001,42.150002,42.23
2021-11-23,2238.1280689799896,96404.88,42.060001,42.060001,40.439999,41.34
2021-11-24,2238.1280689799896,96078.402332,41.68,41.68,41.0,41.200001
2021-11-25,2238.1280689799896,96311.597668,41.459999,41.459999,41.200001,41.299999
2021-11-26,2238.1280689799896,97407.64000000001,41.639999,41.880001,41.209999,41.77
2021-11-29,2238.1280689799896,97057.837668,41.759998,41.759998,41.360001,41.619999
2021-11-30,2238.1280689799896,96801.31533600001,41.68,41.68,41.16,41.509998
2021-12-01,2238.1280689799896,96101.71766800001,41.43,41.43,40.73,41.209999
2021-12-02,2238.1280689799896,95565.35999999999,41.57,41.57,40.93,40.98
2021-12-03,2238.1280689799896,95425.435336,41.27,41.27,40.849998,40.919998
2021-12-06,2238.1280689799896,96311.597668,41.779999,41.779999,41.150002,41.299999
2021-12-07,2238.1280689799896,96125.04233200001,41.720001,41.720001,41.029999,41.220001
2021-12-08,2238.1280689799896,96708.04233200001,41.52,41.57,41.220001,41.470001
2021-12-09,2238.1280689799896,96428.195336,41.779999,41.779999,41.060001,41.349998
2021-12-10,2238.1280689799896,96241.64000000001,41.419998,41.419998,41.150002,41.27
2021-12-13,2238.1280689799896,96894.597668,41.68,41.68,41.400002,41.549999
2021-12-14,2238.1280689799896,96894.597668,41.459999,41.779999,41.459999,41.549999
2021-12-15,2238.1280689799896,96708.04233200001,41.779999,41.779999,41.029999,41.470001
2021-12-16,2238.1280689799896,97291.04233200001,42.169998,42.169998,41.599998,41.720001
2021-12-17,2238.1280689799896,98270.477668,41.880001,42.450001,41.880001,42.139999
2021-12-20,2238.1280689799896,97617.522332,42.560001,42.560001,41.720001,41.860001
2021-12-21,2238.1280689799896,97221.077668,42.119999,42.119999,41.380001,41.689999
2021-12-22,2238.1280689799896,96824.64000000001,41.959999,41.959999,41.23,41.52
2021-12-23,2238.1280689799896,97221.077668,42.220001,42.220001,41.619999,41.689999
2021-12-24,2238.1280689799896,97267.71766800001,42.080002,42.080002,41.43,41.709999
2021-12-27,2238.1280689799896,96987.88,42.040001,42.040001,41.52,41.59
2021-12-28,2238.1280689799896,97034.522332,41.919998,41.919998,41.279999,41.610001
2021-12-29,2238.1280689799896,96778.0,41.880001,41.880001,41.419998,41.5
2021-12-30,6425.348348639978,96125.04233200001,41.779999,43.779999,41.150002,41.220001
2021-12-31,6837.764915619991,96731.35999999999,41.919998,41.919998,41.360001,41.48
2022-01-03,55959.479327279994,48657.17999999999,42.07,44.25,41.540001,41.73
2022-01-04,7978.5769952799965,96684.71766800001,41.779999,41.779999,41.150002,41.459999
